#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
dtpA|dtpD|dtpC|dtpB	NE	NE|NE|NE|NE
rnr	NE	NE
ada|ogt	NE	NE|NE
phr	NE	NE
mcrA	NE	NE
ruvC&ruvB&ruvA	NE	NE&NE&NE
ung	NE	NE
mutY	NE	NE
rnhB|rnhA	NE	NE|NE
polA|polB|dnaQ	NE	E|NE|NE
xthA	NE	NE
pinE	NE	NE
recG	NE	NE
gapA	E	E
emrD|mdfA|bcr|mdtL|mdtG|mdtM	NE	NE|NE|NE|NE|NE|NE
mdtK	NE	NE
mdtP&mdtO&mdtN|tolC&mdtC&mdtB&mdtA|acrD&acrA|emrK&emrY|acrE&acrF|emrA&emrB|acrA&acrB|tolC&mdtE&mdtF	NE	NE&NE&NE|NE&NE&NE&NE|NE&NE|NE&NE|NE&NE|NE&NE|NE&NE|NE&NE&NE
rffG|rfbB	NE	NE|NE
rffH|rfbA	NE	NE|NE
rfbC	NE	NE
rfbC&rfbD	NE	NE&NE
rfbD	NE	NE
nudI|dut	NE	NE|E
